Id,Title,Body,Tags,Score,ViewCount,CreationDate
"1245401","C# Assign a delegate based on a type - refactor help?","<p>I had a quick question. Something seems really wrong with this code. I want to take advantage of generics and delegates and quite possibly generic delegates if applicable. I am working with some code generated api's and the objects generated are very similiar. I see that they all implement an interface so I was to try to create one class with a few methods to handle the different scenarios. Here is some sample code. It just feels wrong on so many levels. Please tell me how I can make this code better. A little refactoring advice if you will. And by all means rip it to shreds. I want to code better and learn to do things correctly.</p>

<p>Thanks,
~ck in San Diego</p>

<pre><code>private delegate IsomeEntity DisplayDelegate(IsomeEntity display);

public IsomeEntity Display&lt;T&gt;()
{
    DisplayDelegate _del = null;
    IsomeEntity display = factory.CreateObject(typeof(T).Name);

    if (display.GetType() == typeof(ADisplayEntity))
        _del = ADisplayEntity;

    if (display.GetType() == typeof(BDisplayEntity))
        _del = BDisplayEntity;

    if (display.GetType() == typeof(CDisplayEntity))
        _del = CDisplayEntity;


    return _del(display);
}

public ADisplayEntity ADisplayEntity(IsomeEntity display)
{
    ADisplayEntity ade = display as ADisplayEntity;

    try
    {
        ADisplay o = new ADisplay();
        ADisplayEntity response = o.ADisplay(ade);
        return response;
    }
    catch (Exception ex)
    {
        Exception newEx;
        if (someExceptionHandler.HandleException(ex, this, out newEx))
            throw newEx;
    }

    return null;
}

public BDisplayEntity BDisplayEntity(IsomeEntity display)
{
    BDisplayEntity dde = display as BDisplayEntity;

    try
    {
        BDisplay o = new BDisplay();
        BDisplayEntity response = o.BDisplay(bde);
        return response;
    }
    catch (Exception ex)
    {
        Exception newEx;
        if (someExceptionHandler.HandleException(ex, this, out newEx))
            throw newEx;
    }

    return null;
}
</code></pre>
","<c#><generics><refactoring><delegates>","1","387","2009-08-07 15:24:18"
"7287","How do you test/change untested and untestable code?","<p>Lately I had to change some code on older systems where not all of the code has unit tests.<br />
Before making the changes I want to write tests, but each class created a lot of dependencies and other anti-patterns which made testing quite hard.<br />
Obviously, I wanted to refactor the code to make it easier to test, write the tests and then change it.<br />
Is this the way you'd do it? Or would you spend a lot of time writing the hard-to-write tests that would be mostly removed after the refactoring will be completed?</p>

<p>Any insights are welcome!</p>
","<unit-testing><refactoring><legacy>","4","366","2008-08-10 18:49:53"
"8549","Visual Studio refactoring: Remove method","<p>Is there any Visual Studio Add-In that can do the remove method refactoring?<br />
Suppose you have the following method:  </p>

<pre><code>Result DoSomething(parameters)  
{  
    return ComputeResult(parameters);  
}
</code></pre>

<p>Or the variant where Result is void.</p>

<p>The purpose of the refactoring is to replace all the calls to DoSomething with calls to ComputeResult or the expression that uses the parameters if ComputeResult is not a method call.</p>
","<visual-studio><refactoring><methods><remove>","3","1078","2008-08-12 06:22:06"
"15851","Refactoring away labeled loops","<p>After I was convinced that labeled breaks/continues are a total ""nono"" over <a href=""http://stackoverflow.com/questions/15481/java-coding-standard-best-practices-labeled-brakecontinue#15501"" rel=""nofollow"">here</a>, I need help to remove the label out of my code.</p>

<p>I have a square matrix and a vector that has the same length. The vector has already some values in it an depending on the values in the matrix the vector is changed in the loop.</p>

<p>I hope, the code-fragment is basically understandable </p>

<pre><code>vectorLoop:
for( int idx = 0; idx &lt; vectorLength; idx++) {
    if( conditionAtVectorPosition( v, idx ) ) continue vectorLoop;

    matrixLoop:
    for( rowIdx = 0; rowIdx &lt; n; rowIdx++ ) {
        if( anotherConditionAtVector( v, rowIdx ) ) continue matrixLoop;
        if( conditionAtMatrixRowCol( m, rowIdx, idx ) ) continue vectorLoop;
    }
    setValueInVector( v, idx );
}
</code></pre>

<p>please convince me, that there is a more readable/better version without the labels.</p>
","<java><refactoring><label>","9","920","2008-08-19 07:42:02"
"16167","Good refactoring support for C++","<p>The Visual Studio refactoring support  for C# is quite good nowadays (though not half as good as some Java IDE's I've seen already) but I'm really missing C++ support.</p>

<p>I have seen <a href=""http://www.devexpress.com/Products/Visual_Studio_Add-in/RefactorCPP/index.xml"" rel=""nofollow"">Refactor!</a> and am currently trying it out, but maybe one of you guys know a better tool or plugin?
<hr>
I've been working with <a href=""http://www.wholetomato.com/"" rel=""nofollow"">Visual Assist X</a> now for a week or two and got totally addicted. Thanks for the tip, I'll try to convince my boss to get me a license at work too.
<hr>
I've been bughunting for a few days since Visual Assist X kept messing up my Visual Studio after a few specific refactorings, It took me (and customer support) a week to hunt down but let's say for now that Visual Assist X is not a good combination with <a href=""http://bluemars.org/clipx/"" rel=""nofollow"">ClipX</a>.</p>
","<c++><visual-studio><refactoring>","17","8444","2008-08-19 13:39:29"
"19758","Tools for PHP code refactoring","<p>Are there any tools which support refactoring PHP code (renaming variables, extracting methods, finding method references, ...)? Thank you.</p>
","<php><refactoring>","40","13427","2008-08-21 12:45:26"
"20262","Refactoring for Testability on an existing system","<p>I've joined a team that works on a product. This product has been around for ~5 years or so, and uses ASP.NET WebForms. Its original architecture has faded over time, and things have become relatively disorganized throughout the solution. It's by no means terrible, but definitely can use some work; you all know what I mean.</p>

<p>I've been performing some refactorings since coming on to the project team about 6 months ago. Some of those refactorings are simple, Extract Method, Pull Method Up, etc. Some of the refactorings are more structural. The latter changes make me nervous as there isn't a comprehensive suite of unit tests to accompany every component. </p>

<p>The whole team is on board for the need to make structural changes through refactoring, but our Project Manager has expressed some concerns that we don't have adequate tests to make refactorings with the confidence that we aren't introducing regression bugs into the system. He would like us to write more tests first (against the existing architecture), then perform the refactorings. My argument is that the system's class structure is too tightly coupled to write adequate tests, and that using a more Test Driven approach while we perform our refactorings may be better. What I mean by this is not writing tests against the existing components, but writing tests for specific functional requirements, then refactoring existing code to meet those requirements. This will allow us to write tests that will probably have more longevity in the system, rather than writing a bunch of 'throw away' tests.</p>

<p>Does anyone have any experience as to what the best course of action is? I have my own thoughts, but would like to hear some input from the community.</p>
","<asp.net><refactoring><automated-tests>","5","398","2008-08-21 15:34:46"
"20420","Any ReSharper equivalent for Xcode?","<p>I'm a complete Xcode/Objective-C/Cocoa newbie but I'm learning fast and really starting to enjoy getting to grips with a new language, platform and paradigm.</p>

<p>One thing is though, having been using Visual Studio with R# for so long I've kind of been spoiled with the coding tools such as refactorings and completion etc and as far as I can tell Xcode has some fairly limited built in support for this stuff.</p>

<p>On that note, does anyone know if any add-ins or whatever are available for the Xcode environment which add coding helpers such as automatically generating implementation skeletons from a class interface definition etc? </p>

<p>I suspect there aren't but I suppose it can't help to ask.</p>
","<objective-c><xcode><osx><refactoring>","25","5882","2008-08-21 16:18:41"
"21857","When do you know it's time to rewrite an application","<p>This is humbling, but probably something most can relate to.  I am currently adding functionality to a PHP application I wrote for a client 2 years ago.  In the interest of full disclosure, this was the first ""real"" application I ever built from the ground up, in the sense that I actually met with clients to determine and write a spec.  I then built the application by myself, learning SQL as I went (I had some prior rudimentary PHP experience).</p>

<p>The client contacted me this week to make modifications to existing functionality as well as add new modules to the application.  I realize now that I did a poor job of modularizing the application from the start to make additions easier.  Currently, the code base is almost 20,000 lines of code (it is a fairly sophisticated, if narrow application).</p>

<p>I'm struggling with whether or not to ""rewrite"" the application to make future changes easier and more efficient.  I should point out that the nature of my agreement with the client is one in which I will be the only person making modifications in the future.  They will not seek another developer for this app.</p>

<p>The budding programmer in me always wants to do things in the cleanest and most efficient way in order to satisfy my own OCD, but I do intend to bill the client for any time I spend rewriting.  Morally, I feel fine with this because the initial rate that I charged them was low - they got a stable, working app which has been performing without any intervention from me for 2 years, and I got my first real development project on my resume.  My dilemma is about when to decide to rewrite an application for the sake of future development.</p>

<p>Please weigh in with your thoughts.  I'm sure I'm not the only one who has ever had this problem.</p>
","<php><mysql><refactoring><rewrite><billing>","67","2676","2008-08-22 05:47:10"
"23899","Best practices for refactoring classic ASP?","<p>I've got to do some significant development in a large, old, spaghetti-ridden ASP system. I've been away from ASP for a long time, focusing my energies on Rails development.</p>

<p>One basic step I've taken is to refactor pages into subs and functions with meaningful names, so that at least it's easy to understand @ the top of the file what's generally going on.</p>

<p>Is there a worthwhile MVC framework for ASP? Or a best practice at how to at least get business logic out of the views? (I remember doing a lot of includes back in the day -- is that still the way to do it?)</p>

<p>I'd love to get some unit testing going for business logic too, but maybe I'm asking too much?</p>

<h3>Update:</h3>

<p>There are over 200 ASP scripts in the project, some thousands of lines long ;) UGH!</p>

<p>We may opt for the ""big rewrite"" but until then, when I'm in changing a page, I want to spend a little extra time cleaning up the spaghetti.</p>
","<asp.net-mvc><coding-style><refactoring>","11","2059","2008-08-23 02:56:37"
